metric_id,timestamp,date,hour,revenue,transaction_count,signup_count,active_users,is_anomaly,anomaly_type
59,2024-01-03 10:00:00,2024-01-03,10,21566.11,324,30,1675,false,Normal
60,2024-01-03 11:00:00,2024-01-03,11,23283.56,296,31,1905,false,Normal
61,2024-01-03 12:00:00,2024-01-03,12,23135.84,342,37,2002,false,Normal
62,2024-01-03 13:00:00,2024-01-03,13,24371.89,351,30,1903,false,Normal
63,2024-01-03 14:00:00,2024-01-03,14,26732.34,320,31,1980,false,Normal
64,2024-01-03 15:00:00,2024-01-03,15,24885.15,357,36,2084,false,Normal
65,2024-01-03 16:00:00,2024-01-03,16,24880.72,333,28,1944,false,Normal
66,2024-01-03 17:00:00,2024-01-03,17,22805.51,305,30,2010,false,Normal
67,2024-01-03 18:00:00,2024-01-03,18,23053.24,315,26,1749,false,Normal
68,2024-01-03 19:00:00,2024-01-03,19,20747.6,285,30,1618,false,Normal
69,2024-01-03 20:00:00,2024-01-03,20,19595.32,269,27,1560,false,Normal
70,2024-01-03 21:00:00,2024-01-03,21,15887.32,224,23,1294,false,Normal
71,2024-01-03 22:00:00,2024-01-03,22,15880.05,181,23,1225,false,Normal
72,2024-01-03 23:00:00,2024-01-03,23,14868.03,229,18,1210,false,Normal
73,2024-01-04 00:00:00,2024-01-04,0,14920.93,199,12,1054,false,Normal
74,2024-01-04 01:00:00,2024-01-04,1,13830.71,193,26,1131,false,Normal
75,2024-01-04 02:00:00,2024-01-04,2,15032.18,157,18,981,false,Normal
76,2024-01-04 03:00:00,2024-01-04,3,13050.65,187,21,1041,false,Normal
77,2024-01-04 04:00:00,2024-01-04,4,15473.28,210,17,1213,false,Normal
78,2024-01-04 05:00:00,2024-01-04,5,14924.27,200,20,1113,false,Normal
79,2024-01-04 06:00:00,2024-01-04,6,15549.17,235,27,1287,false,Normal
80,2024-01-04 07:00:00,2024-01-04,7,18168.16,233,25,1414,false,Normal
81,2024-01-04 08:00:00,2024-01-04,8,19354.48,250,18,1497,false,Normal
82,2024-01-04 09:00:00,2024-01-04,9,22049.26,281,23,1567,false,Normal
83,2024-01-04 10:00:00,2024-01-04,10,20970.66,268,34,1763,false,Normal
84,2024-01-04 11:00:00,2024-01-04,11,23759.83,283,33,1905,false,Normal
85,2024-01-04 12:00:00,2024-01-04,12,25265.49,313,29,2028,false,Normal
86,2024-01-04 13:00:00,2024-01-04,13,25328.7,332,35,2114,false,Normal
87,2024-01-04 14:00:00,2024-01-04,14,25245.64,347,36,2055,false,Normal
88,2024-01-04 15:00:00,2024-01-04,15,24699.58,338,28,1884,false,Normal
89,2024-01-04 16:00:00,2024-01-04,16,26344.13,320,27,2034,false,Normal
90,2024-01-04 17:00:00,2024-01-04,17,24828.28,296,31,1837,false,Normal
91,2024-01-04 18:00:00,2024-01-04,18,22003.22,287,27,1712,false,Normal
92,2024-01-04 19:00:00,2024-01-04,19,21365.74,277,28,1641,false,Normal
93,2024-01-04 20:00:00,2024-01-04,20,19343.44,250,23,1471,false,Normal
94,2024-01-04 21:00:00,2024-01-04,21,18063.72,217,21,1444,false,Normal
95,2024-01-04 22:00:00,2024-01-04,22,16096.48,221,17,1344,false,Normal
96,2024-01-04 23:00:00,2024-01-04,23,16692.36,207,20,1181,false,Normal
97,2024-01-05 00:00:00,2024-01-05,0,14628.21,180,21,1012,false,Normal
98,2024-01-05 01:00:00,2024-01-05,1,14521.34,201,14,1006,false,Normal
99,2024-01-05 02:00:00,2024-01-05,2,14010.82,147,16,1005,false,Normal
100,2024-01-05 03:00:00,2024-01-05,3,13154.16,197,23,1128,false,Normal
101,2024-01-05 04:00:00,2024-01-05,4,16404.95,186,22,1092,false,Normal
102,2024-01-05 05:00:00,2024-01-05,5,14623.67,189,19,1012,false,Normal
103,2024-01-05 06:00:00,2024-01-05,6,16731.85,220,30,1272,false,Normal
104,2024-01-05 07:00:00,2024-01-05,7,19185.77,247,21,1297,false,Normal
105,2024-01-05 08:00:00,2024-01-05,8,19041.53,254,29,1593,false,Normal
106,2024-01-05 09:00:00,2024-01-05,9,20609.81,276,25,1615,false,Normal
107,2024-01-05 10:00:00,2024-01-05,10,22471.46,291,30,1702,false,Normal
108,2024-01-05 11:00:00,2024-01-05,11,24470.17,320,29,1960,false,Normal
109,2024-01-05 12:00:00,2024-01-05,12,22860.88,327,37,2026,false,Normal
110,2024-01-05 13:00:00,2024-01-05,13,25457.26,336,36,2038,false,Normal
111,2024-01-05 14:00:00,2024-01-05,14,25879.64,324,37,1931,false,Normal
112,2024-01-05 15:00:00,2024-01-05,15,23779.8,337,33,2079,false,Normal
113,2024-01-05 16:00:00,2024-01-05,16,24091.73,334,29,1839,false,Normal
114,2024-01-05 17:00:00,2024-01-05,17,23095.74,325,39,1773,false,Normal
115,2024-01-05 18:00:00,2024-01-05,18,23711.17,295,34,1638,false,Normal
116,2024-01-05 19:00:00,2024-01-05,19,21135.21,283,26,1608,false,Normal
117,2024-01-05 20:00:00,2024-01-05,20,19499.23,261,20,1405,false,Normal
118,2024-01-05 21:00:00,2024-01-05,21,17363.95,197,19,1426,false,Normal
119,2024-01-05 22:00:00,2024-01-05,22,16996.93,205,24,1249,false,Normal
120,2024-01-05 23:00:00,2024-01-05,23,14854.73,212,24,1119,false,Normal
121,2024-01-06 00:00:00,2024-01-06,0,15327.65,195,20,972,false,Normal
122,2024-01-06 01:00:00,2024-01-06,1,13087.44,165,19,1011,false,Normal
123,2024-01-06 02:00:00,2024-01-06,2,13849.05,199,22,857,false,Normal
124,2024-01-06 03:00:00,2024-01-06,3,12467.48,175,19,1060,false,Normal
125,2024-01-06 04:00:00,2024-01-06,4,14520.29,158,24,1014,false,Normal
126,2024-01-06 05:00:00,2024-01-06,5,15897.43,203,19,1230,false,Normal
127,2024-01-06 06:00:00,2024-01-06,6,17766.04,199,14,1200,false,Normal
128,2024-01-06 07:00:00,2024-01-06,7,18351.78,243,25,1455,false,Normal
129,2024-01-06 08:00:00,2024-01-06,8,20320.51,253,21,1442,false,Normal
130,2024-01-06 09:00:00,2024-01-06,9,21879.52,269,31,1680,false,Normal
131,2024-01-06 10:00:00,2024-01-06,10,23990.91,299,22,1901,false,Normal
132,2024-01-06 11:00:00,2024-01-06,11,23416.02,314,35,1827,false,Normal
133,2024-01-06 12:00:00,2024-01-06,12,23404.78,323,34,1903,false,Normal
134,2024-01-06 13:00:00,2024-01-06,13,26273.6,322,31,1879,false,Normal
135,2024-01-06 14:00:00,2024-01-06,14,26536.17,366,33,1933,false,Normal
136,2024-01-06 15:00:00,2024-01-06,15,23378.39,359,35,2031,false,Normal
137,2024-01-06 16:00:00,2024-01-06,16,23959.49,347,33,1842,false,Normal
138,2024-01-06 17:00:00,2024-01-06,17,22654.98,320,27,1893,false,Normal
139,2024-01-06 18:00:00,2024-01-06,18,21483.04,292,28,1724,false,Normal
140,2024-01-06 19:00:00,2024-01-06,19,21340.82,260,26,1524,false,Normal
141,2024-01-06 20:00:00,2024-01-06,20,19076.16,244,26,1533,false,Normal
142,2024-01-06 21:00:00,2024-01-06,21,19625.15,231,27,1328,false,Normal
143,2024-01-06 22:00:00,2024-01-06,22,16196.39,229,25,1331,false,Normal
144,2024-01-06 23:00:00,2024-01-06,23,16019.99,205,25,1109,false,Normal
145,2024-01-07 00:00:00,2024-01-07,0,14043.45,180,15,1015,false,Normal
146,2024-01-07 01:00:00,2024-01-07,1,15460.55,158,23,899,false,Normal
147,2024-01-07 02:00:00,2024-01-07,2,14854.82,138,23,947,false,Normal
148,2024-01-07 03:00:00,2024-01-07,3,14340.15,181,17,1133,false,Normal
149,2024-01-07 04:00:00,2024-01-07,4,15593.6,189,20,1138,false,Normal
150,2024-01-07 05:00:00,2024-01-07,5,15365.76,216,23,1101,false,Normal
151,2024-01-07 06:00:00,2024-01-07,6,15821.16,225,19,1282,false,Normal
152,2024-01-07 07:00:00,2024-01-07,7,17852.15,254,26,1529,false,Normal
153,2024-01-07 08:00:00,2024-01-07,8,20510.64,268,24,1423,false,Normal
154,2024-01-07 09:00:00,2024-01-07,9,21350.99,300,30,1619,false,Normal
155,2024-01-07 10:00:00,2024-01-07,10,21803.81,317,30,1615,false,Normal
156,2024-01-07 11:00:00,2024-01-07,11,24631.05,283,29,1823,false,Normal
157,2024-01-07 12:00:00,2024-01-07,12,24750.97,321,30,1930,false,Normal
158,2024-01-07 13:00:00,2024-01-07,13,25733.63,332,40,2003,false,Normal
159,2024-01-07 14:00:00,2024-01-07,14,24601.62,333,31,2050,false,Normal
160,2024-01-07 15:00:00,2024-01-07,15,24581.14,334,31,2119,false,Normal
161,2024-01-07 16:00:00,2024-01-07,16,22733.9,324,34,1957,false,Normal
162,2024-01-07 17:00:00,2024-01-07,17,23422.21,327,32,1838,false,Normal
163,2024-01-07 18:00:00,2024-01-07,18,21418.16,305,26,1597,false,Normal
164,2024-01-07 19:00:00,2024-01-07,19,21697.58,276,26,1614,false,Normal
165,2024-01-07 20:00:00,2024-01-07,20,19389.07,255,25,1518,false,Normal
166,2024-01-07 21:00:00,2024-01-07,21,17971.35,247,31,1445,false,Normal
167,2024-01-07 22:00:00,2024-01-07,22,17137.52,221,23,1310,false,Normal
168,2024-01-07 23:00:00,2024-01-07,23,15980.11,221,23,1132,false,Normal
169,2024-01-08 00:00:00,2024-01-08,0,14365.09,198,24,986,false,Normal
170,2024-01-08 01:00:00,2024-01-08,1,14554.47,181,17,1000,false,Normal
171,2024-01-08 02:00:00,2024-01-08,2,15257.87,196,18,962,false,Normal
172,2024-01-08 03:00:00,2024-01-08,3,14933.99,188,16,986,false,Normal
173,2024-01-08 04:00:00,2024-01-08,4,14952.77,165,18,1046,false,Normal
174,2024-01-08 05:00:00,2024-01-08,5,15160.93,213,18,1164,false,Normal
175,2024-01-08 06:00:00,2024-01-08,6,16440.73,214,20,1464,false,Normal
176,2024-01-08 07:00:00,2024-01-08,7,18158.8,226,19,1259,false,Normal
177,2024-01-08 08:00:00,2024-01-08,8,18709.69,252,25,1578,false,Normal
178,2024-01-08 09:00:00,2024-01-08,9,20538.64,286,27,1674,false,Normal
179,2024-01-08 10:00:00,2024-01-08,10,22655.23,300,29,1897,false,Normal
180,2024-01-08 11:00:00,2024-01-08,11,23475.68,299,29,1727,false,Normal
181,2024-01-08 12:00:00,2024-01-08,12,23744.0,307,36,2101,false,Normal
182,2024-01-08 13:00:00,2024-01-08,13,25034.11,325,31,1886,false,Normal
183,2024-01-08 14:00:00,2024-01-08,14,23883.77,336,37,1969,false,Normal
184,2024-01-08 15:00:00,2024-01-08,15,23391.22,369,28,2028,false,Normal
185,2024-01-08 16:00:00,2024-01-08,16,25796.42,347,35,1784,false,Normal
186,2024-01-08 17:00:00,2024-01-08,17,24044.14,305,31,1744,false,Normal
187,2024-01-08 18:00:00,2024-01-08,18,21249.22,284,35,1682,false,Normal
188,2024-01-08 19:00:00,2024-01-08,19,19816.59,244,33,1680,false,Normal
189,2024-01-08 20:00:00,2024-01-08,20,19066.52,223,22,1440,false,Normal
190,2024-01-08 21:00:00,2024-01-08,21,19713.37,225,25,1241,false,Normal
191,2024-01-08 22:00:00,2024-01-08,22,16466.14,235,20,1143,false,Normal
192,2024-01-08 23:00:00,2024-01-08,23,16217.43,212,21,1231,false,Normal
193,2024-01-09 00:00:00,2024-01-09,0,14359.15,196,15,1047,false,Normal
194,2024-01-09 01:00:00,2024-01-09,1,14241.8,150,16,1070,false,Normal
195,2024-01-09 02:00:00,2024-01-09,2,12722.11,169,18,1227,false,Normal
196,2024-01-09 03:00:00,2024-01-09,3,14972.42,174,13,990,false,Normal
197,2024-01-09 04:00:00,2024-01-09,4,14762.67,207,17,1130,false,Normal
198,2024-01-09 05:00:00,2024-01-09,5,16498.05,199,22,1118,false,Normal
199,2024-01-09 06:00:00,2024-01-09,6,16772.14,197,22,1314,false,Normal
200,2024-01-09 07:00:00,2024-01-09,7,18542.46,235,26,1326,false,Normal
201,2024-01-09 08:00:00,2024-01-09,8,19315.38,239,28,1467,false,Normal
202,2024-01-09 09:00:00,2024-01-09,9,21111.24,283,28,1652,false,Normal
203,2024-01-09 10:00:00,2024-01-09,10,22850.1,298,31,1763,false,Normal
204,2024-01-09 11:00:00,2024-01-09,11,23856.09,312,34,1900,false,Normal
205,2024-01-09 12:00:00,2024-01-09,12,23588.3,326,30,1798,false,Normal
206,2024-01-09 13:00:00,2024-01-09,13,24642.82,357,35,1982,false,Normal
207,2024-01-09 14:00:00,2024-01-09,14,25343.75,349,37,2063,false,Normal
208,2024-01-09 15:00:00,2024-01-09,15,26519.1,354,28,1993,false,Normal
209,2024-01-09 16:00:00,2024-01-09,16,25095.18,326,28,1936,false,Normal
210,2024-01-09 17:00:00,2024-01-09,17,22900.07,283,31,1934,false,Normal
211,2024-01-09 18:00:00,2024-01-09,18,22822.36,310,30,1670,false,Normal
212,2024-01-09 19:00:00,2024-01-09,19,21912.4,277,26,1643,false,Normal
213,2024-01-09 20:00:00,2024-01-09,20,20890.44,267,27,1432,false,Normal
214,2024-01-09 21:00:00,2024-01-09,21,19644.76,252,28,1509,false,Normal
215,2024-01-09 22:00:00,2024-01-09,22,15802.1,233,24,1114,false,Normal
216,2024-01-09 23:00:00,2024-01-09,23,15902.77,196,14,1206,false,Normal
217,2024-01-10 00:00:00,2024-01-10,0,14579.51,189,21,1073,false,Normal
218,2024-01-10 01:00:00,2024-01-10,1,14548.77,163,20,989,false,Normal
219,2024-01-10 02:00:00,2024-01-10,2,13180.25,174,20,890,false,Normal
220,2024-01-10 03:00:00,2024-01-10,3,14735.19,177,23,1071,false,Normal
221,2024-01-10 04:00:00,2024-01-10,4,15000.03,203,17,1102,false,Normal
222,2024-01-10 05:00:00,2024-01-10,5,15456.04,195,21,1137,false,Normal
223,2024-01-10 06:00:00,2024-01-10,6,17832.84,224,23,1237,false,Normal
224,2024-01-10 07:00:00,2024-01-10,7,19110.83,211,18,1281,false,Normal
225,2024-01-10 08:00:00,2024-01-10,8,19515.37,230,22,1551,false,Normal
226,2024-01-10 09:00:00,2024-01-10,9,21353.05,258,30,1745,false,Normal
227,2024-01-10 10:00:00,2024-01-10,10,23974.76,302,30,1742,false,Normal
228,2024-01-10 11:00:00,2024-01-10,11,24751.8,324,28,1917,false,Normal
229,2024-01-10 12:00:00,2024-01-10,12,23772.22,338,29,1924,false,Normal
230,2024-01-10 13:00:00,2024-01-10,13,26769.62,319,34,2070,false,Normal
231,2024-01-10 14:00:00,2024-01-10,14,24813.54,356,35,1954,false,Normal
232,2024-01-10 15:00:00,2024-01-10,15,24180.73,340,28,1886,false,Normal
233,2024-01-10 16:00:00,2024-01-10,16,24421.46,310,32,1841,false,Normal
234,2024-01-10 17:00:00,2024-01-10,17,24391.42,330,33,1867,false,Normal
235,2024-01-10 18:00:00,2024-01-10,18,21822.01,282,36,1796,false,Normal
236,2024-01-10 19:00:00,2024-01-10,19,20793.62,287,30,1727,false,Normal
237,2024-01-10 20:00:00,2024-01-10,20,20852.53,271,23,1506,false,Normal
238,2024-01-10 21:00:00,2024-01-10,21,18484.27,238,24,1138,false,Normal
239,2024-01-10 22:00:00,2024-01-10,22,18097.4,217,27,1321,false,Normal
240,2024-01-10 23:00:00,2024-01-10,23,15941.89,234,18,1354,false,Normal
241,2024-01-11 00:00:00,2024-01-11,0,14814.22,162,16,1076,false,Normal
242,2024-01-11 01:00:00,2024-01-11,1,12722.05,180,16,963,false,Normal
243,2024-01-11 02:00:00,2024-01-11,2,13551.46,168,18,1021,false,Normal
244,2024-01-11 03:00:00,2024-01-11,3,14077.86,183,19,1059,false,Normal
245,2024-01-11 04:00:00,2024-01-11,4,14919.21,218,24,988,false,Normal
246,2024-01-11 05:00:00,2024-01-11,5,14758.69,187,22,1101,false,Normal
247,2024-01-11 06:00:00,2024-01-11,6,17702.22,206,17,1119,false,Normal
248,2024-01-11 07:00:00,2024-01-11,7,16740.94,233,30,1424,false,Normal
249,2024-01-11 08:00:00,2024-01-11,8,19602.2,249,24,1440,false,Normal
250,2024-01-11 09:00:00,2024-01-11,9,20600.31,283,30,1602,false,Normal
251,2024-01-11 10:00:00,2024-01-11,10,22771.3,298,28,1782,false,Normal
252,2024-01-11 11:00:00,2024-01-11,11,22981.84,317,31,1932,false,Normal
253,2024-01-11 12:00:00,2024-01-11,12,24199.42,334,29,1915,false,Normal
254,2024-01-11 13:00:00,2024-01-11,13,25856.34,357,35,1942,false,Normal
255,2024-01-11 14:00:00,2024-01-11,14,24356.28,327,32,2027,false,Normal
256,2024-01-11 15:00:00,2024-01-11,15,24238.19,321,30,1928,false,Normal
257,2024-01-11 16:00:00,2024-01-11,16,22600.73,306,29,1907,false,Normal
258,2024-01-11 17:00:00,2024-01-11,17,24689.19,328,32,1733,false,Normal
259,2024-01-11 18:00:00,2024-01-11,18,21835.52,309,33,1575,false,Normal
260,2024-01-11 19:00:00,2024-01-11,19,22016.37,278,30,1586,false,Normal
261,2024-01-11 20:00:00,2024-01-11,20,19452.8,241,26,1616,false,Normal
262,2024-01-11 21:00:00,2024-01-11,21,19128.25,251,21,1352,false,Normal
263,2024-01-11 22:00:00,2024-01-11,22,16278.9,225,24,1161,false,Normal
264,2024-01-11 23:00:00,2024-01-11,23,15181.26,217,23,1055,false,Normal
265,2024-01-12 00:00:00,2024-01-12,0,14673.6,209,22,1039,false,Normal
266,2024-01-12 01:00:00,2024-01-12,1,15052.05,188,15,1143,false,Normal
267,2024-01-12 02:00:00,2024-01-12,2,13671.18,178,13,962,false,Normal
268,2024-01-12 03:00:00,2024-01-12,3,13614.66,156,19,963,false,Normal
269,2024-01-12 04:00:00,2024-01-12,4,15478.08,186,22,1071,false,Normal
270,2024-01-12 05:00:00,2024-01-12,5,15459.71,200,17,1109,false,Normal
271,2024-01-12 06:00:00,2024-01-12,6,17409.01,232,21,1243,false,Normal
272,2024-01-12 07:00:00,2024-01-12,7,16981.13,231,22,1271,false,Normal
273,2024-01-12 08:00:00,2024-01-12,8,20455.15,256,25,1558,false,Normal
274,2024-01-12 09:00:00,2024-01-12,9,20186.62,290,21,1586,false,Normal
275,2024-01-12 10:00:00,2024-01-12,10,20640.64,318,32,1701,false,Normal
276,2024-01-12 11:00:00,2024-01-12,11,23393.39,303,32,1911,false,Normal
277,2024-01-12 12:00:00,2024-01-12,12,23774.38,335,30,1908,false,Normal
278,2024-01-12 13:00:00,2024-01-12,13,24988.18,348,31,1974,false,Normal
279,2024-01-12 14:00:00,2024-01-12,14,25361.63,351,38,1987,false,Normal
280,2024-01-12 15:00:00,2024-01-12,15,26357.98,325,36,2103,false,Normal
281,2024-01-12 16:00:00,2024-01-12,16,25755.79,327,29,1819,false,Normal
282,2024-01-12 17:00:00,2024-01-12,17,23051.19,289,29,1717,false,Normal
283,2024-01-12 18:00:00,2024-01-12,18,22522.81,316,29,1859,false,Normal
284,2024-01-12 19:00:00,2024-01-12,19,20655.2,290,25,1647,false,Normal
285,2024-01-12 20:00:00,2024-01-12,20,20156.99,265,29,1512,false,Normal
286,2024-01-12 21:00:00,2024-01-12,21,18158.98,242,27,1401,false,Normal
287,2024-01-12 22:00:00,2024-01-12,22,17136.46,223,25,1074,false,Normal
288,2024-01-12 23:00:00,2024-01-12,23,15116.33,204,20,1035,false,Normal
289,2024-01-13 00:00:00,2024-01-13,0,15994.21,193,17,1173,false,Normal
290,2024-01-13 01:00:00,2024-01-13,1,14961.99,160,11,951,false,Normal
291,2024-01-13 02:00:00,2024-01-13,2,14702.44,192,19,1063,false,Normal
292,2024-01-13 03:00:00,2024-01-13,3,14037.37,200,20,948,false,Normal
293,2024-01-13 04:00:00,2024-01-13,4,14694.35,192,21,996,false,Normal
294,2024-01-13 05:00:00,2024-01-13,5,15558.83,212,18,1217,false,Normal
295,2024-01-13 06:00:00,2024-01-13,6,17379.16,211,21,1265,false,Normal
296,2024-01-13 07:00:00,2024-01-13,7,18061.15,223,21,1504,false,Normal
297,2024-01-13 08:00:00,2024-01-13,8,19157.04,268,24,1353,false,Normal
298,2024-01-13 09:00:00,2024-01-13,9,22582.38,268,28,1564,false,Normal
299,2024-01-13 10:00:00,2024-01-13,10,21908.65,298,28,1784,false,Normal
300,2024-01-13 11:00:00,2024-01-13,11,24756.96,311,35,1805,false,Normal
301,2024-01-13 12:00:00,2024-01-13,12,24593.33,320,32,1928,false,Normal
302,2024-01-13 13:00:00,2024-01-13,13,25845.57,347,35,1961,false,Normal
303,2024-01-13 14:00:00,2024-01-13,14,25711.06,353,34,1959,false,Normal
304,2024-01-13 15:00:00,2024-01-13,15,25017.59,316,36,1835,false,Normal
305,2024-01-13 16:00:00,2024-01-13,16,25218.58,315,30,1899,false,Normal
306,2024-01-13 17:00:00,2024-01-13,17,23941.47,309,34,1936,false,Normal
307,2024-01-13 18:00:00,2024-01-13,18,23037.96,285,33,1707,false,Normal
308,2024-01-13 19:00:00,2024-01-13,19,22653.16,274,21,1707,false,Normal
309,2024-01-13 20:00:00,2024-01-13,20,19321.82,243,22,1626,false,Normal
310,2024-01-13 21:00:00,2024-01-13,21,17925.05,233,24,1406,false,Normal
311,2024-01-13 22:00:00,2024-01-13,22,15803.21,223,19,1248,false,Normal
312,2024-01-13 23:00:00,2024-01-13,23,15688.42,252,24,1364,false,Normal
313,2024-01-14 00:00:00,2024-01-14,0,14513.81,205,19,1182,false,Normal
314,2024-01-14 01:00:00,2024-01-14,1,12550.18,162,13,1083,false,Normal
315,2024-01-14 02:00:00,2024-01-14,2,13332.56,184,19,979,false,Normal
316,2024-01-14 03:00:00,2024-01-14,3,14934.74,179,21,968,false,Normal
317,2024-01-14 04:00:00,2024-01-14,4,15119.02,200,14,1078,false,Normal
318,2024-01-14 05:00:00,2024-01-14,5,15352.82,191,27,1213,false,Normal
319,2024-01-14 06:00:00,2024-01-14,6,17650.4,248,24,1208,false,Normal
320,2024-01-14 07:00:00,2024-01-14,7,19254.71,224,20,1397,false,Normal
321,2024-01-14 08:00:00,2024-01-14,8,20057.54,249,24,1445,false,Normal
322,2024-01-14 09:00:00,2024-01-14,9,21298.15,280,26,1622,false,Normal
323,2024-01-14 10:00:00,2024-01-14,10,23105.93,298,29,1724,false,Normal
324,2024-01-14 11:00:00,2024-01-14,11,24629.3,324,35,1877,false,Normal
325,2024-01-14 12:00:00,2024-01-14,12,23021.03,323,33,2025,false,Normal
326,2024-01-14 13:00:00,2024-01-14,13,22902.71,347,37,1906,false,Normal
327,2024-01-14 14:00:00,2024-01-14,14,23803.78,387,33,1946,false,Normal
328,2024-01-14 15:00:00,2024-01-14,15,24920.58,352,31,2086,false,Normal
329,2024-01-14 16:00:00,2024-01-14,16,22939.44,327,33,2043,false,Normal
330,2024-01-14 17:00:00,2024-01-14,17,23279.2,314,30,1671,false,Normal
331,2024-01-14 18:00:00,2024-01-14,18,21840.4,333,29,1807,false,Normal
